paternal_autocrat_ARG;Partido Justicialista;Partido Justicialista;Partido Justicialista,;;Partido Justicialista,;;;;;;;;;;x;
social_conservative_ARG;Partido Demócrata Cristiano;Partido Demócrata Cristiano;Partido Demócrata Cristiano;;Partido Demócrata Cristiano;;;;;;;;;;x;
market_liberal_ARG;Partido Nacional;Partido Nacional;Partido Nacional;;Partido Nacional;;;;;;;;;;x;
social_liberal_ARG;Frente para la Victoria;Frente para la Victoria;Frente para la Victoria;;Frente para la Victoria;;;;;;;;;;x;
social_democrat_ARG;Partido Socialista;Partido Socialista;Partido Socialista;;Partido Socialista;;;;;;;;;;x;
left_wing_radical_ARG;Unión Cívica Radical;Unión Cívica Radical;Unión Cívica Radical;;Unión Cívica Radical;;;;;;;;;;x;
leninist_ARG;Partido Obrero;Partido Obrero;Partido Obrero;;Partido Obrero;;;;;;;;;;x;
stalinist_ARG;Partido Comunista de la Argentina;Partido Comunista de la Argentina;Partido Comunista de la Argentina;;Partido Comunista de la Argentina;;;;;;;;;;x;
national_socialist_AUS;NSDAP;NSDAP;NSDAP;;NSDAP;;;;;;;;;;x;
fascistic_AUS;VF;VF;VF;;VF;;;;;;;;;;x;
paternal_autocrat_AUS;GDVP;GDVP;GDVP;;GDVP;;;;;;;;;;x;
social_conservative_AUS;CSP;CSP;CSP;;CSP;;;;;;;;;;x;
market_liberal_AUS;Landbund;Landbund;Landbund;;Landbund;;;;;;;;;;x;
social_liberal_AUS;ÖSLP;ÖSLP;ÖSLP;;ÖSLP;;;;;;;;;;x;
social_democrat_AUS;SDAPÖ;SDAPÖ;SDAPÖ;;SDAPÖ;;;;;;;;;;x;
left_wing_radical_AUS;Schutzbund;Schutzbund;Schutzbund;;Schutzbund;;;;;;;;;;x;
leninist_AUS;MLPÖ;SDAPÖ;MLPÖ;;MLPÖ;;;;;;;;;;x;
stalinist_AUS;KPDÖ;Schutzbund;KPDÖ;;KPDÖ;;;;;;;;;;x;
national_socialist_BEL;Verdinaso;Verdinaso;Verdinaso;;Verdinaso;;;;;;;;;;x;
fascistic_BEL;Rex;Rex;Rex;;Rex;;;;;;;;;;x;
paternal_autocrat_BEL;VNV;VNV;VNV;;VNV;;;;;;;;;;x;
social_conservative_BEL;Katholieke Unie-Union Catholique;Katholieke Unie-Union Catholique;Katholieke Unie-Union Catholique;;Katholieke Unie-Union Catholique;;;;;;;;;;x;
market_liberal_BEL;Liberale Partij-Parti Libéral;Liberale Partij-Parti Libéral;Liberale Partij-Parti Libéral;;Liberale Partij-Parti Libéral;;;;;;;;;;x;
social_liberal_BEL;Afgescheurde Liberalen-Libéraux Déchirés;Afgescheurde Liberalen-Libéraux Déchirés;Afgescheurde Liberalen-Libéraux Déchirés;;Afgescheurde Liberalen-Libéraux Déchirés;;;;;;;;;;x;
social_democrat_BEL;BWP-BOP;BWP-BOP;BWP-BOP;;BWP-BOP;;;;;;;;;;x;
left_wing_radical_BEL;Rev.Soc.Actie-Action Soc.Rev.;Rev.Soc.Actie-Action Soc.Rev.;Rev.Soc.Actie-Action Soc.Rev.;;Rev.Soc.Actie-Action Soc.Rev.;;;;;;;;;;x;
leninist_BEL;Lijst Van Overstraeten-Liste Van Overstraeten;Lijst Van Overstraeten-Liste Van Overstraeten;Lijst Van Overstraeten-Liste Van Overstraeten;;Lijst Van Overstraeten-Liste Van Overstraeten;;;;;;;;;;x;
stalinist_BEL;KPB-PCB;KPB-PCB;KPB-PCB;;KPB-PCB;;;;;;;;;;x;
national_socialist_BHU;Bhutan National Socialist Party;Parti national socialiste du Bhoutan;Nationalsolzialistische Partei Bhutans;;Partido Nacionalsocialista de Bután;;;;;;;;;;x;
fascistic_BHU;Bhutan Fascist League;Ligue fasciste du Bhoutan;Faschistische Liga Bhutan;;Liga Fascista de Bután;;;;;;;;;;x;
paternal_autocrat_BHU;Bhutan Peace and Prosperity Party;Parti de la paix et de la prospérité du Bhoutan;Friedens- und Wohlstandspartei Bhutans;;Partido de la Paz y la Prosperidad de Bután;;;;;;;;;;x;
social_conservative_BHU;Bhutan Conservative Party;Parti conservateur du Bhoutan;Konservative Partei Bhutans;;Partido Conservador de Bután;;;;;;;;;;x;
market_liberal_BHU;Bhutan National Democratic Party ;Parti national démocratique du Bhoutan;Nationaldemokratische Partei Bhutans;;Partido Nacional Demócrata de Bután ;;;;;;;;;;x;
social_liberal_BHU;Bhutan National Congress Party;Parti national du Congrès du Bhoutan;Nationalkongresspartei Bhutans;;Partido del Congreso Nacional de Bután;;;;;;;;;;x;
social_democrat_BHU;People's Democratic Party;Parti démocratique populaire;Demokratische Volkspartei;;Partido Democrátrico del Pueblo;;;;;;;;;;x;
left_wing_radical_BHU;Bhutan Peoples' Party;Parti du peuple du Bhoutan;Bhutanische Volkspartei;;Partido del Pueblo de Bután;;;;;;;;;;x;
leninist_BHU;Bhutan Communist Party;Parti communiste du Bhoutan;Kommunistische Partei Bhutans;;Partido Comunista de Bután;;;;;;;;;;x;
stalinist_BHU;Communist Party of Bhutan;Parti communiste bhoutanais;Kommunistische Partei von Bhutan;;Partido Comunista de Bután;;;;;;;;;;x;
national_socialist_BOL;Movimiento Nacional Socialista;Movimiento Nacional Socialista;Movimiento Nacional Socialista;;Movimiento Nacionalsocialista;;;;;;;;;;x;
fascistic_BOL;Falange Socialista Boliviana;Falange Socialista Boliviana;Falange Socialista Boliviana;;Falange Socialista Boliviana;;;;;;;;;;x;
paternal_autocrat_BOL;Nueva Fuerza Republicana,;Nueva Fuerza Republicana,;Nueva Fuerza Republicana;;Nueva Fuerza Republicana,;;;;;;;;;;x;
social_conservative_BOL;Unidad Cívica Solidaridad;Unidad Cívica Solidaridad;Unidad Cívica Solidaridad;;Unidad Cívica Solidaridad;;;;;;;;;;x;
market_liberal_BOL;Partido Liberal;Partido Liberal;Partido Liberal;;Partido Liberal;;;;;;;;;;x;
social_liberal_BOL;Movimiento Nacionalista Revolucionario;Movimiento Nacionalista Revolucionario;Movimiento Nacionalista Revolucionario;;Movimiento Nacionalista Revolucionario;;;;;;;;;;x;
social_democrat_BOL;Partido Socialista;Partido Socialista;Partido Socialista;;Partido Socialista;;;;;;;;;;x;
left_wing_radical_BOL;Partido Obrero Revolucionario;Partido Obrero Revolucionario;Partido Obrero Revolucionario;;Partido Obrero Revolucionario;;;;;;;;;;x;
leninist_BOL;Partido de la Izquierda Revolucionaria;Partido de la Izquierda Revolucionaria;Partido de la Izquierda Revolucionaria;;Partido de la Izquierda Revolucionaria;;;;;;;;;;x;
stalinist_BOL;Partido Comunista de Bolivia;Partido Comunista de Bolivia;Partido Comunista de Bolivia;;Partido Comunista de Bolivia;;;;;;;;;;x;
national_socialist_BRA;Partido Nacional Socialista Brasileiro;Partido Nacional Socialista Brasileiro;Partido Nacional Socialista Brasileiro;;Partido Nacionalsocialista Brasileira;;;;;;;;;;x;
fascistic_BRA;Ação Integralista Brasileira;Ação Integralista Brasileira;Ação Integralista Brasileira;;Ação Integralista Brasileira;;;;;;;;;;x;
paternal_autocrat_BRA;Estado Nôvo;Estado Nôvo;Estado Nôvo;;Estado Nôvo;;;;;;;;;;x;
social_conservative_BRA;Partido de Representação Popular;Partido de Representação Popular;Partido de Representação Popular;;Partido de Representação Popular;;;;;;;;;;x;
market_liberal_BRA;União Democrática Nacional;União Democrática Nacional;União Democrática Nacional;;União Democrática Nacional;;;;;;;;;;x;
social_liberal_BRA;Partido Social Democrático;Partido Social Democrático;Partido Social Democrático;;Partido Social Democrático;;;;;;;;;;x;
social_democrat_BRA;Partido Trabalhista Brasileiro;Partido Trabalhista Brasileiro;Partido Trabalhista Brasileiro;;Partido Trabalhista Brasileiro;;;;;;;;;;x;
left_wing_radical_BRA;Partido Socialismo e Liberdade;Partido Socialismo e Liberdade;Partido Socialismo e Liberdade;;Partido Socialismo e Liberdade;;;;;;;;;;x;
leninist_BRA;Partido Comunista do Brasil;Partido Comunista do Brasil;Partido Comunista do Brasil;;Partido Comunista do Brasil;;;;;;;;;;x;
stalinist_BRA;Partido Comunista Brasileiro;Partido Comunista Brasileiro;Partido Comunista Brasileiro;;Partido Comunista Brasileiro;;;;;;;;;;x;
national_socialist_BUL;Ratnitsi Napreduka na Bulgarshtinata;Ratnitsi Napreduka na Bulgarshtinata;Ratnitsi Napreduka na Bulgarshtinata;;Ratnitsi Napreduka na Bulgarshtinata;;;;;;;;;;x;
fascistic_BUL;IMRO;IMRO;IMRO;;IMRO;;;;;;;;;;x;
paternal_autocrat_BUL;Zveno;Zveno;Zveno;;Zveno;;;;;;;;;;x;
social_conservative_BUL;Balgarski Zemedelski Naroden Sajuz;Balgarski Zemedelski Naroden Sajuz;Balgarski Zemedelski Naroden Sajuz;;Balgarski Zemedelski Naroden Sajuz;;;;;;;;;;x;
market_liberal_BUL;Demokraticheska partija;Demokraticheska partija;Demokraticheska partija;;Demokraticheska partija;;;;;;;;;;x;
social_liberal_BUL;Obedinena Narodnoprogresivna Partija;Obedinena Narodnoprogresivna Partija;Obedinena Narodnoprogresivna Partija;;Obedinena Narodnoprogresivna Partija;;;;;;;;;;x;
social_democrat_BUL;Partiya Balgarski Sotsialdemokrati;Partiya Balgarski Sotsialdemokrati;Partiya Balgarski Sotsialdemokrati;;Partiya Balgarski Sotsialdemokrati;;;;;;;;;;x;
left_wing_radical_BUL;Radikalna Partija;Radikalna Partija;Radikalna Partija;;Radikalna Partija;;;;;;;;;;x;
leninist_BUL;Tesnyatsi;Tesnyatsi;Tesnyatsi;;Tesnyatsi;;;;;;;;;;x;
stalinist_BUL;Balgarska Komunisticheska Partija;Balgarska Komunisticheska Partija;Balgarska Komunisticheska Partija;;Balgarska Komunisticheska Partija;;;;;;;;;;x;
national_socialist_CGX;National Socialist Party;Parti national socialiste;Nationalsozialistische Partei;;Partido Nacionalsocialista;;;;;;;;;;x;
fascistic_CGX;Chinese Youth Party;Parti de la jeunesse chinoise;Chinesische Jugendpartei;;Partido de la Juventud de China;;;;;;;;;;x;
paternal_autocrat_CGX;Kuomintang;Kuomintang;Guomindang;;Kuomintang;;;;;;;;;;x;
social_conservative_CGX;Protect the Emperor Society;Société pour la protection de l'Empereur;Kaiserschutzgesellschaft;;Sociedad de Protección al Emperador;;;;;;;;;;x;
market_liberal_CGX;Constitutionalist Party;Parti constitutionnaliste;Konstitutionalistische Partei;;Partido Constitucionalista;;;;;;;;;;x;
social_liberal_CGX;Hundred Days' Reformists;Réformistes des Cent jours;Hundert-Tage-Reformisten;;Reformistas de los Cien Días;;;;;;;;;;x;
social_democrat_CGX;Progressive Party;Parti progressiste;Fortschrittspartei;;Partido Progresista;;;;;;;;;;x;
left_wing_radical_CGX;Guangxi Clique;Clique de Guangxi;Guangxi-Clique;;Camarilla de Guangxi;;;;;;;;;;x;
leninist_CGX;Chinese Workers and Peasants Party;Parti des travailleurs et des paysans chinois;Chinesische Arbeiter- und Bauernpartei;;Partido Trabajadores y Campesinos de China;;;;;;;;;;x;
stalinist_CGX;Chinese Communist Party;Parti communiste chinois;Kommunistische Partei Chinas;;Partido Comunista Chino;;;;;;;;;;x;
national_socialist_CHC;National Socialist Party;Parti national socialiste;Nationalsozialistische Partei;;Partido Nacionalsocialista;;;;;;;;;;x;
fascistic_CHC;Chinese Youth Party;Parti de la jeunesse chinoise;Chinesische Jugendpartei;;Partido de la Juventud de China;;;;;;;;;;x;
paternal_autocrat_CHC;Kuomintang;Kuomintang;Guomindang;;Kuomintang;;;;;;;;;;x;
social_conservative_CHC;Protect the Emperor Society;Société pour la protection de l'Empereur;Kaiserschutzgesellschaft;;Sociedad de Protección al Emperador;;;;;;;;;;x;
market_liberal_CHC;Constitutionalist Party;Parti constitutionnaliste;Konstitutionalistische Partei;;Partido Constitucionalista;;;;;;;;;;x;
social_liberal_CHC;Hundred Days' Reformists;Parti réformiste des Cent jours;Hundert-Tage-Reformisten;;Reformistas de los Cien Días;;;;;;;;;;x;
social_democrat_CHC;Progressive Party;Parti progressiste;Fortschrittspartei;;Partido Progresista;;;;;;;;;;x;
left_wing_radical_CHC;May Fourth Movement;Mouvement du 4 mai;4. Mai-Bewegung;;Movimiento del Cuatro de Mayo;;;;;;;;;;x;
leninist_CHC;Chinese Workers and Peasants Party;Parti des travailleurs et des paysans chinois;Chinesische Arbeiter- und Bauernpartei;;Partido Trabajadores y Campesinos de China;;;;;;;;;;x;
stalinist_CHC;Chinese Communist Party;Parti communiste chinois;Kommunistische Partei Chinas;;Partido Comunista Chino;;;;;;;;;;x;
national_socialist_CHI;National Socialist Party;Parti national socialiste;Nationalsozialistische Partei;;Partido Nacionalsocialista;;;;;;;;;;x;
fascistic_CHI;Chinese Youth Party;Parti de la jeunesse chinoise;Chinesische Jugendpartei;;Partido de la Juventud de China;;;;;;;;;;x;
paternal_autocrat_CHI;Kuomintang;Kuomintang;Guomindang;;Kuomintang;;;;;;;;;;x;
social_conservative_CHI;Protect the Emperor Society;Société pour la protection de l'Empereur;Kaiserschutzgesellschaft;;Sociedad de Protección al Emperador;;;;;;;;;;x;
market_liberal_CHI;Constitutionalist Party;Parti constitutionnaliste;Konstitutionalistische Partei;;Partido Constitucionalista;;;;;;;;;;x;
social_liberal_CHI;Hundred Days' Reformists;Parti réformiste des Cent jours;Hundert-Tage-Reformisten;;Reformistas de los Cien Días;;;;;;;;;;x;
social_democrat_CHI;Progressive Party;Parti progressiste;Fortschrittspartei;;Partido Progresista;;;;;;;;;;x;
left_wing_radical_CHI;May Fourth Movement;Mouvement du 4 mai;4. Mai-Bewegung;;Movimiento del Cuatro de Mayo;;;;;;;;;;x;
leninist_CHI;Chinese Workers and Peasants Party;Parti des travailleurs et des paysans chinois;Chinesische Arbeiter- und Bauernpartei;;Partido Trabajadores y Campesinos de China;;;;;;;;;;x;
stalinist_CHI;Chinese Communist Party;Parti communiste chinois;Kommunistische Partei Chinas;;Partido Comunista Chino;;;;;;;;;;x;
national_socialist_CSX;National Socialist Party;Parti national socialiste;Nationalsozialistische Partei;;Partido Nacionalsocialista;;;;;;;;;;x;
fascistic_CSX;Chinese Youth Party;Parti de la jeunesse chinoise;Chinesische Jugendpartei;;Partido de la Juventud de China;;;;;;;;;;x;
paternal_autocrat_CSX;Kuomintang;Kuomintang;Guomindang;;Kuomintang;;;;;;;;;;x;
social_conservative_CSX;Protect the Emperor Society;Société pour la protection de l'Empereur;Kaiserschutzgesellschaft;;Sociedad de Protección al Emperador;;;;;;;;;;x;
market_liberal_CSX;Constitutionalist Party;Parti constitutionnaliste;Konstitutionalistische Partei;;Partido Constitucionalista;;;;;;;;;;x;
social_liberal_CSX;Hundred Days' Reformists;Parti réformiste des Cent jours;Hundert-Tage-Reformisten;;Reformistas de los Cien Días;;;;;;;;;;x;
social_democrat_CSX;Progressive Party;Parti progressiste;Fortschrittspartei;;Partido Progresista;;;;;;;;;;x;
left_wing_radical_CSX;May Fourth Movement;Mouvement du 4 mai;4. Mai-Bewegung;;Movimiento del Cuatro de Mayo;;;;;;;;;;x;
leninist_CSX;Chinese Workers and Peasants Party;Parti des travailleurs et des paysans chinois;Chinesische Arbeiter- und Bauernpartei;;Partido Trabajadores y Campesinos de China;;;;;;;;;;x;
stalinist_CSX;Chinese Communist Party;Parti communiste chinois;Kommunistische Partei Chinas;;Partido Comunista Chino;;;;;;;;;;x;
national_socialist_CHL;Movimiento Nacional Socialista de Chile;Movimiento Nacional Socialista de Chile;Movimiento Nacional Socialista de Chile;;Movimiento Nacionalsocialista de Chile;;;;;;;;;;x;
fascistic_CHL;Falange de Chile;Falange de Chile;Falange de Chile;;Falange de Chile;;;;;;;;;;x;
paternal_autocrat_CHL;Partido Conservador;Partido Conservador;Partido Conservador;;Partido Conservador;;;;;;;;;;x;
social_conservative_CHL;Partido Demócrata Cristiano de Chile;Partido Demócrata Cristiano de Chile;Partido Demócrata Cristiano de Chile;;Partido Demócrata Cristiano de Chile;;;;;;;;;;x;
market_liberal_CHL;Partido Nacional;Partido Nacional;Partido Nacional;;Partido Nacional;;;;;;;;;;x;
social_liberal_CHL;Partido Liberal;Partido Liberal;Partido Liberal;;Partido Liberal;;;;;;;;;;x;
social_democrat_CHL;Partido Socialista de Chile;Partido Socialista de Chile;Partido Socialista de Chile;;Partido Socialista de Chile;;;;;;;;;;x;
left_wing_radical_CHL;Partido Radical;Partido Radical;Partido Radical;;Partido Radical;;;;;;;;;;x;
leninist_CHL;Partido Socialista Obrero;Partido Socialista Obrero;Partido Socialista Obrero;;Partido Socialista Obrero;;;;;;;;;;x;
stalinist_CHL;Partido Comunista de Chile;Partido Comunista de Chile;Partido Comunista de Chile;;Partido Comunista de Chile;;;;;;;;;;x;
national_socialist_COL;Movimiento Nacional Socialista;Movimiento Nacional Socialista;Movimiento Nacional Socialista;;Movimiento Nacionalsocialista;;;;;;;;;;x;
fascistic_COL;Falange del Colombia;Falange del Colombia;Falange del Colombia;;Falange de Colombia;;;;;;;;;;x;
paternal_autocrat_COL;Acción Nacional;Acción Nacional;Acción Nacional;;Acción Nacional;;;;;;;;;;x;
social_conservative_COL;Partido Conservador Colombiano;Partido Conservador Colombiano;Partido Conservador Colombiano;;Partido Conservador Colombiano;;;;;;;;;;x;
market_liberal_COL;Partido Liberal Radical Colombiano;Partido Liberal Radical Colombiano;Partido Liberal Radical Colombiano;;Partido Liberal Radical Colombiano;;;;;;;;;;x;
social_liberal_COL;Partido Liberal Colombiano;Partido Liberal Colombiano;Partido Liberal Colombiano;;Partido Liberal Colombiano;;;;;;;;;;x;
social_democrat_COL;Partido Socialdemócrata Colombiano;Partido Socialdemócrata Colombiano;Partido Socialdemócrata Colombiano;;Partido Socialdemócrata Colombiano;;;;;;;;;;x;
left_wing_radical_COL;Partido de los Trabajadores del Colombia;Partido de los Trabajadores del Colombia;Partido de los Trabajadores del Colombia;;Partido de los Trabajadores del Colombia;;;;;;;;;;x;
leninist_COL;Partido Comunista Marxista-Leninista del Colombia;Partido Comunista Marxista-Leninista del Colombia;Partido Comunista Marxista-Leninista del Colombia;;Partido Comunista Marxista-Leninista de Colombia;;;;;;;;;;x;
stalinist_COL;Partido Comunista del Colombia;Partido Comunista del Colombia;Partido Comunista del Colombia;;Partido Comunista de Colombia;;;;;;;;;;x;
national_socialist_COS;Moviemento Nacional Socialista;Moviemento Nacional Socialista;Moviemento Nacional Socialista;;Movimiento Nacionalsocialista;;;;;;;;;;x;
fascistic_COS;Falange de Costa Rica;Falange de Costa Rica;Falange de Costa Rica;;Falange de Costa Rica;;;;;;;;;;x;
paternal_autocrat_COS;Partido Republicano Nacional;Partido Republicano Nacional;Partido Republicano Nacional;;Partido Republicano Nacional;;;;;;;;;;x;
social_conservative_COS;Partido de Unidad Socialcristiana;Partido de Unidad Socialcristiana;Partido de Unidad Socialcristiana;;Partido de Unidad Socialcristiana;;;;;;;;;;x;
market_liberal_COS;Partido Movimiento Libertario;Partido Movimiento Libertario;Partido Movimiento Libertario;;Partido Movimiento Libertario;;;;;;;;;;x;
social_liberal_COS;Partido Liberación Nacional;Partido Liberación Nacional;Partido Liberación Nacional;;Partido Liberación Nacional;;;;;;;;;;x;
social_democrat_COS;Partido Socialista;Partido Socialista;Partido Socialista;;Partido Socialista;;;;;;;;;;x;
left_wing_radical_COS;Partido Vanguardia Popular;Partido Vanguardia Popular;Partido Vanguardia Popular;;Partido Vanguardia Popular;;;;;;;;;;x;
leninist_COS;Partido Acción Socialist Obrera;Partido Acción Socialist Obrera;Partido Acción Socialist Obrera;;Partido Acción Socialista Obrera;;;;;;;;;;x;
stalinist_COS;Partido Comunista de Costa Rica;Partido Comunista de Costa Rica;Partido Comunista de Costa Rica;;Partido Comunista de Costa Rica;;;;;;;;;;x;
national_socialist_CRO;Hrvatski oslobodilacki pokret;Hrvatski oslobodilacki pokret;Hrvatski oslobodilacki pokret;;Hrvatski oslobodilacki pokret;;;;;;;;;;x;
fascistic_CRO;Ustasha;Ustasha;Ustasha;;Ustasha;;;;;;;;;;x;
paternal_autocrat_CRO;Hrvatska stranka prava;Hrvatska stranka prava;Hrvatska stranka prava;;Hrvatska stranka prava;;;;;;;;;;x;
social_conservative_CRO;Hrvatska seljacka stranka;Hrvatska seljacka stranka;Hrvatska seljacka stranka;;Hrvatska seljacka stranka;;;;;;;;;;x;
market_liberal_CRO;Liberalna stranka;Liberalna stranka;Liberalna stranka;;Liberalna stranka;;;;;;;;;;x;
social_liberal_CRO;Hrvatska socijalno liberalna stranka;Hrvatska socijalno liberalna stranka;Hrvatska socijalno liberalna stranka;;Hrvatska socijalno liberalna stranka;;;;;;;;;;x;
social_democrat_CRO;Socijaldemokratska partija Hrvatske;Socijaldemokratska partija Hrvatske;Socijaldemokratska partija Hrvatske;;Socijaldemokratska partija Hrvatske;;;;;;;;;;x;
left_wing_radical_CRO;Hrvatska napredna stranka;Hrvatska napredna stranka;Hrvatska napredna stranka;;Hrvatska napredna stranka;;;;;;;;;;x;
leninist_CRO;Savez komunista Hrvatske;Savez komunista Hrvatske;Savez komunista Hrvatske;;Savez komunista Hrvatske;;;;;;;;;;x;
stalinist_CRO;Komunisticka partija Hrvatske;Komunisticka partija Hrvatske;Komunisticka partija Hrvatske;;Komunisticka partija Hrvatske;;;;;;;;;;x;
national_socialist_CUB;Movimiento National Socialista;Movimiento National Socialista;Movimiento National Socialista;;Movimiento National Socialista;;;;;;;;;;x;
fascistic_CUB;Falange de Cuba;Falange de Cuba;Falange de Cuba;;Falange de Cuba;;;;;;;;;;x;
paternal_autocrat_CUB;Partido Auténtico;Partido Auténtico;Partido Auténtico;;Partido Auténtico;;;;;;;;;;x;
social_conservative_CUB;Partido Demócrata Cristiano de Cuba;Partido Demócrata Cristiano de Cuba;Partido Demócrata Cristiano de Cuba;;Partido Demócrata Cristiano de Cuba;;;;;;;;;;x;
market_liberal_CUB;Unión Liberal Cubana;Unión Liberal Cubana;Unión Liberal Cubana;;Unión Liberal Cubana;;;;;;;;;;x;
social_liberal_CUB;Movimiento Liberal Cubano;Movimiento Liberal Cubano;Movimiento Liberal Cubano;;Movimiento Liberal Cubano;;;;;;;;;;x;
social_democrat_CUB;PSRDC;PSRDC;PSRDC;;PSRDC;;;;;;;;;;x;
left_wing_radical_CUB;Partido Ortodoxo;Partido Ortodoxo;Partido Ortodoxo;;Partido Ortodoxo;;;;;;;;;;x;
leninist_CUB;Partido Socialista Popular;Partido Socialista Popular;Partido Socialista Popular;;Partido Socialista Popular;;;;;;;;;;x;
stalinist_CUB;Partido Comunista de Cuba,;Partido Comunista de Cuba,;Partido Comunista de Cuba,;;Partido Comunista de Cuba,;;;;;;;;;;x;
national_socialist_CYN;National Socialist Party;Parti national socialiste;Nationalsozialistische Partei;;Partido Nacionalsocialista;;;;;;;;;;x;
fascistic_CYN;Chinese Youth Party;Parti de la jeunesse chinoise;Chinesische Jugendpartei;;Partido de la Juventud de China;;;;;;;;;;x;
paternal_autocrat_CYN;Yunnan Clique;Clique de Yunnan;Yunnan-Clique;;Yunnan Clique;;;;;;;;;;x;
social_conservative_CYN;Protect the Emperor Society;Société pour la protection de l'Empereur;Kaiserschutzgesellschaft;;Sociedad de Protección al Emperador;;;;;;;;;;x;
market_liberal_CYN;Constitutionalist Party;Parti constitutionnaliste;Konstitutionalistische Partei;;Partido Constitucionalista;;;;;;;;;;x;
social_liberal_CYN;Hundred Days' Reformists;Parti réformiste des Cent jours;Hundert-Tage-Reformisten;;Reformistas de los Cien Días;;;;;;;;;;x;
social_democrat_CYN;Progressive Party;Parti progressiste;Fortschrittspartei;;Partido Progresista;;;;;;;;;;x;
left_wing_radical_CYN;May Fourth Movement;Mouvement du 4 mai;4. Mai-Bewegung;;Movimiento del Cuatro de Mayo;;;;;;;;;;x;
leninist_CYN;Chinese Workers and Peasants Party;Parti des travailleurs et des paysans chinois;Chinesische Arbeiter- und Bauernpartei;;Partido Trabajadores y Campesinos de China;;;;;;;;;;x;
stalinist_CYN;Chinese Communist Party;Parti communiste chinois;Kommunistische Partei Chinas;;Partido Comunista Chino;;;;;;;;;;x;
national_socialist_CXB;National Socialist Party;Parti national socialiste;Nationalsozialistische Partei;;Partido Nacionalsocialista;;;;;;;;;;x;
fascistic_CXB;Chinese Youth Party;Parti de la jeunesse chinoise;Chinesische Jugendpartei;;Partido de la Juventud de China;;;;;;;;;;x;
paternal_autocrat_CXB;Ma Clique;Clique de Ma;Ma-Clique;;Ma Clique;;;;;;;;;;x;
social_conservative_CXB;Protect the Emperor Society;Société pour la protection de l'Empereur;Kaiserschutzgesellschaft;;Sociedad de Protección al Emperador;;;;;;;;;;x;
market_liberal_CXB;Constitutionalist Party;Parti constitutionnaliste;Konstitutionalistische Partei;;Partido Constitucionalista;;;;;;;;;;x;
social_liberal_CXB;Hundred Days' Reformists;Parti réformiste des Cent jours;Hundert-Tage-Reformisten;;Reformistas de los Cien Días;;;;;;;;;;x;
social_democrat_CXB;Progressive Party;Parti progressiste;Fortschrittspartei;;Partido Progresista;;;;;;;;;;x;
left_wing_radical_CXB;May Fourth Movement;Mouvement du 4 mai;4. Mai-Bewegung;;Movimiento del Cuatro de Mayo;;;;;;;;;;x;
leninist_CXB;Chinese Workers and Peasants Party;Parti des travailleurs et des paysans chinois;Chinesische Arbeiter- und Bauernpartei;;Partido Trabajadores y Campesinos de China;;;;;;;;;;x;
