CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
first_vienna_award_desc;The Vienna Award was a diplomatic attempt by Germany and Italy to enforce Hungary's claims to the southern parts of Carpathian Rus and Slovakia, at that time a part of Czechoslovakia. Negotiations started in October, but despite intense negotiations, no satisfactory solution acceptable for both parties was to be found. In November, Hungarian forces began to cross the border into the territory and only a few months later, Hitler gave Hungary his permission to annex the remaining lands of Carpathian Rus, thus reestablishing the historic borders between Hungary and Poland.;L'Arbitrage de Vienne était une tentative diplomatique menée par l'Allemagne et l'Italie afin de soutenir les revendications de la Hongrie concernant la Ruthénie subcarpathique et la lisière méridionale de la Slovaquie, qui faisaient à l'époque partie de la Tchécoslovaquie. Les négociations débutent en octobre, mais malgré des discussions intenses, aucune solution acceptable pour les deux parties ne peut être trouvée. En novembre, les forces hongroises commencent à traverser la frontière et, à peine quelques mois plus tard, Hitler donne l'autorisation à la Hongrie d'annexer le reste de la Ruthénie subcarpathique, rétablissant ainsi les frontières historiques entre la Hongrie et la Pologne.;Der Wiener Schiedsspruch war ein diplomatischer Versuch Deutschlands und Italiens, Ungarns Ansprüche auf südliche Teile der Karpartenukraine und die Slowakei zu stärken. Die Verhandlungen begannen im Oktober, doch trotz intensiver Gespräche kam man nicht zu einer für beide Seiten akzeptablen Lösung. Im November begannen ungarische Truppen mit dem Einmarsch in das Gebiet, und nur wenige Monate später erteilte Hitler Ungarn die Erlaubnis, die restlichen Teile der Karpartenukraine zu annektieren, wodurch die historischen Grenzen zwischen Ungarn und Polen wiederhergestellt wurden.;;El primer arbitraje de Viena fue un intento diplomático realizado por Alemania e Italia para respaldar las reclamaciones húngaras sobre las zonas meridionales de la Rutenia de los Cárpatos y Eslovaquia que en aquel momento pertenecían a Checoslovaquia. Las negociaciones se iniciaron en octubre pero, a pesar de su intensidad, no se logró alcanzar una solución aceptable para ambas partes. En noviembre, el ejército húngaro comenzó a cruzar la frontera hacia el interior del territorio y, unos meses después, Hitler dio su permiso a Hungría para que se anexionase el resto de la Rutenia de los Cárpatos, reestableciendo así la frontera histórica entre Hungría y Polonia.;;;;;;;;;x
the_first_vienna_award_title;The First Vienna Award;Le premier Arbitrage de Vienne;Erster Wiener Schiedsspruch;;Primer arbitraje de Viena;;;;;;;;;x
the_first_vienna_award_desc;After the swallowing of the Sudetenland, Hitler used a small group of Slovakian patriots around Tiso, more or less forcing them to proclaim an independent Slovakia. At the same time German troops started to move across the Czechoslovakian border on the pretext of ‘protecting’ the Slovak people. Swiftly demanding the Czech president come to Germany to discuss recent ‘Czech problems’ Hitler managed to isolate and threaten the Czech leader into submission. A few days later the German Army had full control of the former Czechoslovakia.;"Après l'annexion des Sudètes, Hitler manipule un petit groupe de nationalistes slovaques mené par Mgr Tiso, les amenant à proclamer l'indépendance de la Slovaquie. Au même moment, les troupes allemandes pénètrent en Tchécoslovaquie, prétextant la nécessité de 'protéger' le peuple slovaque. Exigeant la venue du président tchèque en Allemagne afin de discuter des 'récents problèmes de la Tchécoslovaquie"", Hitler parvient à l'isoler et à le contraindre à se soumettre sous la menace. Quelques jours plus tard, l'armée allemande contrôle la totalité du territoire de l'ex-Tchécoslovaquie.";Nach der Einverleibung des Sudetenlands zwang Hitler eine Gruppe slowakischer Patrioten um Tiso, die Slowakei für unabhängig zu erklären. Gleichzeitig überquerten deutsche Truppen die tschechoslowakische Grenze unter dem Vorwand, das slowakische Volk schützen zu wollen. Hitler bestellte den tschechischen Präsidenten zur Besprechung der jüngsten ‘tschechischen Probleme’ eilig nach Deutschland, wo er ihn isolieren und zum Einlenken zwingen konnte. Wenige Tage später hatte die Wehrmacht völlige Kontrolle über die ehemalige Tschechoslowakei. ;;Tras la absorción de los Sudetes, Hitler utilizó a un grupo de patriotas eslovacos reunidos en torno a Tiso, forzándoles casi a proclamar la independencia de Eslovaquia. Al mismo tiempo, las tropas alemanas empezaron a cruzar la frontera checoslovaca con el pretexto de 'proteger' al pueblo eslovaco. Exigiendo al presidente checo que se presentase de inmediato en Alemania para discutir recientes 'problemas checos', Hitler consiguió aislar y someter mediante amenazas al líder checo. Unos días más tarde, el ejército alemán controlaba por completo la antigua Checoslovaquia.;;;;;;;;;x
claims_on_memel_title;Claims on Memel;Exigences sur Memel;Ansprüche auf das Memelland;;Reclamación de Memel;;;;;;;;;x
claims_on_memel_desc;On 22nd March 1939 after immense pressure and with German forces ready to attack, the Lithuanian government agree to give Memel (Klaipeda) to Germany and to sign a non-aggression pact.;Le 22 mars 1939, sous la pression virulente de l'Allemagne qui menace d'envoyer ses troupes, le gouvernement lituanien accepte de céder Memel (Klaïpeda) à l'Allemagne et de signer un pacte de non-agression.;Am 22. März 1939 trat die litauische Regierung unter enormem Druck und angesichts angriffsbereiter deutscher Truppen das Memelland (Klaipeda) an Deutschland ab und unterzeichnete einen Nichtangriffspakt.;;El 22 de marzo de 1939, después de muchas presiones y con las fuerzas alemanas preparadas para atacar, el gobierno lituano acepta entregar Memel a Alemania y firmar un pacto de no agresión.;;;;;;;;;x
guarantee_independence_of_poland_title;Guarantee the Independence of Poland;Garantir l'indépendance de la Pologne ;Garantie der Unabhängigkeit Polens;;Garantizar la independencia de Polonia;;;;;;;;;x
guarantee_independence_of_poland_desc;Ribbentrop asked the Poles for the return of Danzig and a strip of German territory across the Polish corridor on which a German-run road and rail link could be built. This time Hitler met real resistance. On 31 March 1939 the British and French guaranteed the borders of Poland. Encouraged by the guarantee, the Poles were not about to compromise. Then, as 1939 progressed, the position of the Soviet Union became critical. If Stalin allied himself with Britain, Germany would run the risk of a two-front war if she pushed the world to conflict. British attempts at negotiation with the Soviet Union were, however, lacklustre, for both ideological and practical reasons (Stalin had purged thousands of officers from the Red Army and the Soviets were perceived to be a third-rate military force). Stalin was also unwilling to be pushed into a war which offered him little in terms of his own narrow self-interest. Then the Nazis pulled what Manfred von Schröder calls a stroke of 'courage' and 'genius' - they signed their own treaty with the Soviet Union, their greatest ideological enemy.;Ribbentrop demande aux Polonais la restitution de Dantzig et d'accorder à l'Allemagne une bande de terre traversant le 'corridor de Dantzig' qui permettrait de relier la Prusse Orientale au reste de l'Allemagne par une ligne de chemin de fer. Cette fois, Hitler fait face à un refus déterminé. Le 31 mars 1939, les Britanniques et les Français se portent garants des frontières de la Pologne. Encouragés par ce geste, les Polonais rejettent tout compromis. Puis, au fil de l'année 1939, il devient évident que le destin de l'Europe dépend aussi de la position de Staline. S'il s'était allié avec les Britanniques, l'Allemagne aurait dû envisager une guerre sur deux fronts simultanés dans le cas où ses ambitions expansionnistes l'auraient poussée à la guerre. Les médiocres tentatives britanniques pour négocier avec l'Union Soviétique se heurtent cependant à des obstacles tant idéologiques que pratiques (Staline avait purgé l'Armée Rouge en exécutant des milliers d'officiers, confortant les puissances occidentales dans leur conviction que la puissance militaire soviétique était limitée). Staline refuse également de se laisser entraîner dans une guerre qui lui offre peu de gratifications personnelles. Puis les Nazis abattent leur atout maître, que Manfred von Schröder appelle un coup d'audace et de génie : ils signent leur propre traité avec l'Union Soviétique, leur ennemi idéologique juré !;Ribbentrop bat Polen um die Rückgabe Danzigs und eines Streifens deutschen Territoriums, über das Ostpreußen und der Rest Deutschlands über eine Eisenbahnstrecke verbunden werden könnte. Mit diesem Vorhaben stieß Hitler jedoch auf erheblichen Widerstand: Am 31. März 1939 garantierten England und Frankreich die Grenzen Polens, das sich ermutigt durch diese Sicherheit nicht kompromissbereit zeigte. Im weiteren Verlaufe des Jahres 1939 spitzte sich die Lage wegen der Haltung der Sowjetunion zu: Sollte sich Stalin mit England verbünden, würde Deutschland im schlimmsten Falle einen Zweifrontenkrieg riskieren. Die Briten jedoch führten aus ideologischen wie praktischen Gründen eher lustlose Verhandlungen mit der Sowjetunion (Stalin hatte Tausende Offiziere der Roten Armee hinrichten lassen: außerdem wurden die Sowjets als militärisch drittklassig angesehen). Darüber hinaus war Stalin nicht gewillt, sich in einen Krieg hineinziehen zu lassen, der ihm aus seiner Sicht kaum etwas zu bieten hatte. Schließlich vollzogen die Nazis einen Schachzug, den Manfred von Schröder als 'mutig' und 'genial' bezeichnete – sie unterzeichneten einen Vertrag mit der Sowjetunion, ihrem größten ideologischen Feind.;;Ribbentrop pidió a los polacos que devolviesen Danzig y una franja de territorio alemán a lo largo del corredor polaco en la que poder construir un enlace por carretera y ferrocarril bajo control alemán que comunicase a Prusia Oriental con el resto de Alemania. Esta vez Hitler se encontró con verdadera resistencia. El 31 de marzo, los británicos y los franceses garantizaron la integridad de las fronteras polacas. Alentados por esta garantía, los polacos se negaron a transigir. Luego, a medida que avanzaba 1939, la postura de la Unión Soviética se volvió decisiva. Si Stalin se aliaba con Gran Bretaña, Alemania se arriesgaría a una guerra en dos frentes si forzaba un conflicto mundial. Sin embargo, los intentos británicos de negociación con la Unión Soviética fueron estériles, por razones tanto ideológicas como prácticas (Stalin había purgado a miles de oficiales del Ejército Rojo y los soviéticos eran considerados una potencia militar de tercera). Stalin tampoco estaba dispuesto a que le empujaran a una guerra que le ofrecía poco en lo que referente a sus estrechas y egoístas miras. Entonces los nazis lograron lo que Manfred von Schröder llama un golpe de 'valor' y 'genio': la firma de un tratado propio con la Unión Soviética, su mayor enemigo ideológico.;;;;;;;;;x
danzig_or_war_title;Danzig or War (Last chance for peace);Dantzig ou la guerre (la dernière chance de paix);Danzig oder Krieg (Letzte Friedensschance);;Danzig o la guerra (última posibilidad de paz);;;;;;;;;x
danzig_or_war_desc;Ribbentrop asked the Poles for the return of Danzig and a strip of German territory across the Polish corridor on which a German-run road and rail link could be built. This time Hitler met real resistance. On 31 March 1939 the British and French guaranteed the borders of Poland. Encouraged by the guarantee, the Poles were not about to compromise. Then, as 1939 progressed, the position of the Soviet Union became critical. If Stalin allied himself with Britain, Germany would run the risk of a two-front war if she pushed the world to conflict. British attempts at negotiation with the Soviet Union were, however, lacklustre, for both ideological and practical reasons (Stalin had purged thousands of officers from the Red Army and the Soviets were perceived to be a third-rate military force). Stalin was also unwilling to be pushed into a war which offered him little in terms of his own narrow self-interest. Then the Nazis pulled what Manfred von Schröder calls a stroke of 'courage' and 'genius' - they signed their own treaty with the Soviet Union, their greatest ideological enemy.;Ribbentrop demande aux Polonais la restitution de Dantzig et l'accord à l'Allemagne d'une bande de terre traversant le 'corridor de Dantzig' qui permettrait de relier la Prusse Orientale au reste de l'Allemagne par une ligne de chemin de fer. Cette fois, Hitler fait face à un refus déterminé. Le 31 mars 1939, les Britanniques et les Français se portent garants des frontières de la Pologne. Encouragés par ce geste, les Polonais rejettent tout compromis. Puis, au fil de l'année 1939, il devient évident que le destin de l'Europe dépend aussi de la position de Staline. S'il s'était allié avec les Britanniques, l'Allemagne aurait dû envisager une guerre sur deux fronts simultanés dans le cas où ses ambitions expansionnistes l'auraient poussée à la guerre. Les médiocres tentatives britanniques pour négocier avec l'Union Soviétique se heurtent cependant à des obstacles tant idéologiques que pratiques (Staline avait purgé l'Armée Rouge en exécutant des milliers d'officiers, confortant les puissances occidentales dans leur conviction que la puissance militaire soviétique était limitée). Staline refuse également de se laisser entraîner dans une guerre qui lui offre peu de gratifications personnelles. Puis les Nazis abattent leur atout maître, que Manfred von Schröder appelle un coup d'audace et de génie : ils signent leur propre traité avec l'Union Soviétique, leur ennemi idéologique juré !;Ribbentrop bat Polen um die Rückgabe Danzigs und eines Streifens deutschen Territoriums, über das Ostpreußen und der Rest Deutschlands über eine Eisenbahnstrecke verbunden werden könnte. Mit diesem Vorhaben stieß Hitler jedoch auf erheblichen Widerstand: Am 31. März 1939 garantierten England und Frankreich die Grenzen Polens, das sich ermutigt durch diese Sicherheit nicht kompromissbereit zeigte. Im weiteren Verlaufe des Jahres 1939 spitzte sich die Lage wegen der Haltung der Sowjetunion zu: Sollte sich Stalin mit England verbünden, würde Deutschland im schlimmsten Falle einen Zweifrontenkrieg riskieren. Die Briten jedoch führten aus ideologischen wie praktischen Gründen eher lustlose Verhandlungen mit der Sowjetunion (Stalin hatte Tausende Offiziere der Roten Armee hinrichten lassen: außerdem wurden die Sowjets als militärisch drittklassig angesehen). Darüber hinaus war Stalin nicht gewillt, sich in einen Krieg hineinziehen zu lassen, der ihm aus seiner Sicht kaum etwas zu bieten hatte. Schließlich vollzogen die Nazis einen Schachzug, den Manfred von Schröder als 'mutig' und 'genial' bezeichnete – sie unterzeichneten einen Vertrag mit der Sowjetunion, ihrem größten ideologischen Feind.;;Ribbentrop pidió a los polacos que devolviesen Danzig y una franja de territorio alemán a lo largo del corredor polaco en la que poder construir un enlace por carretera y ferrocarril bajo control alemán que comunicase a Prusia Oriental con el resto de Alemania. Esta vez Hitler se encontró con verdadera resistencia. El 31 de marzo, los británicos y los franceses garantizaron la integridad de las fronteras polacas. Alentados por esta garantía, los polacos se negaron a transigir. Luego, a medida que avanzaba 1939, la postura de la Unión Soviética se volvió decisiva. Si Stalin se aliaba con Gran Bretaña, Alemania se arriesgaría a una guerra en dos frentes si forzaba un conflicto mundial. Sin embargo, los intentos británicos de negociación con la Unión Soviética fueron estériles, por razones tanto ideológicas como prácticas (Stalin había purgado a miles de oficiales del Ejército Rojo y los soviéticos eran considerados una potencia militar de tercera). Stalin tampoco estaba dispuesto a que le empujaran a una guerra que le ofrecía poco en lo que referente a sus estrechas y egoístas miras. Entonces los nazis lograron lo que Manfred von Schröder llama un golpe de 'valor' y 'genio': la firma de un tratado propio con la Unión Soviética, su mayor enemigo ideológico.;;;;;;;;;x
marco_polo_bridge_incident_title;Marco Polo Bridge - Teach the Chinese;Le pont de Marco Polo - une leçon pour les Chinois;Marco Polo-Brücke - Ein Lehrstunde für die Chinesen;;El puente de Marco Polo: una lección a los chinos;;;;;;;;;x
marco_polo_bridge_incident_desc;Japanese garrison troops in Feng-Tai, southwest of Beiping, clashed with Chinese forces at the Marco Polo Bridge. The battle was at first limited to a local conflict and some hurried negotiations restored order, but soon thereafter new incidents flared up and Japanese forces began offensive operations.;Des troupes de la garnison japonaise de Feng-Tai, au sud-ouest de Beiping, s'opposent aux forces chinoises sur le pont Marco Polo. La lutte est tout d'abord confinée à un conflit local, et quelques négociations d'urgence restaurent l'ordre. Peu après, de nouveaux incidents ont lieu, et les forces japonaises lancent des offensives.;Japanische Garnisonstruppen in Fengtai, südlich von Beiping, lieferten sich an der Marco Polo-Brücke Scharmützel mit chinesischen Soldaten. Das Gefecht war zwar anfangs lokal beschränkt, und eilig herbeigeführte Verhandlungen konnten die Ordnung rasch wieder herstellen, jedoch flammten schon bald neue Vorfälle auf, die schließlich zu japanischen Offensivaktionen führten.;;Las tropas japonesas de la guarnición de Feng-Tai, al suroeste de Beiping, se enfrentaron con las fuerzas chinas en el Puente de Marco Polo. Al principio, la batalla se limitó a ser un conflicto local y unas negociaciones apresuradas restauraron el orden, pero poco después estallaron nuevos incidentes y las fuerzas japonesas iniciaron operaciones ofensivas.;;;;;;;;;x
molotov_ribbentrop_pact_title;The Molotov-Ribbentrop Pact;Le pacte germano-soviétique (pacte Molotov-Ribbentrop);Der Molotow-Ribbentrop-Pakt;;El Pacto Molotov-Ribbentrop;;;;;;;;;x
