tut_menu_1;Basic Concepts;Concepts de base;Grundkonzepte;;Básico;;;;;;;;;x
tut_1a_2;War is coming and you must be prepared for what comes, before you can guide your country to success we have arranged for some guidance from an expert. You are taken outside to meet a small man with a rather odd looking moustache, he is painting what can only be described as a particularly bad painting. He turns and stares at you in an almost manic manner and then begins a half hour rambling tirade about various subjects. You begin to suspect that the man might be mad. However he then begins to settle down and begins to explain what is going on.\n\n”To lead a nation to dominance you must have the facts at your finger tips, information is power. We must first master these if our will is to triumph. I will take you through each in turn, as soon as you are ready to continue hit the okay key. If you feel you are foolish enough to ignore my genius, then do it your way, I won't try to stop you...much”;"La guerre est inévitable et vous devez être fin prêt avant de pouvoir guider votre pays vers la victoire. Pour vous aider, nous avons mis un expert à votre disposition. On vous fait sortir pour rencontrer un petit homme avec une drôle de moustache qui est en train de peindre un tableau absolument horrible. Il se retourne et vous fixe intensément d'un regard légèrement maniaque avant de se lancer dans une diatribe d'une bonne demi-heure, portant sur divers sujets. Alors que vous commencez à penser que cet homme est fou, il se calme et explique la situation.\n\n”Pour pouvoir mener une nation à la suprématie, vous devez disposer de tous les éléments, l'information, c'est le pouvoir. C'est ce que nous devons tout d'abord maîtriser si nous voulons atteindre la victoire. Je vais vous guider à travers chaque étape et quand vous êtes prêt à continuer, cliquez sur le bouton Suivant. Si vous êtes assez stupide pour croire que vous pouvez vous passer de mon génie, cliquez sur le bouton Quitter.""";"Der Krieg naht, und Sie müssen für alles gewappnet sein. Bevor Sie Ihr Land zu Sieg und Ruhm führen, wird unser Experte Ihnen alles Nötige erklären. Man führt Sie nach draußen und stellt Sie einem kleinen Mann mit einem seltsamen Schnauzbart vor, der an einem Gemälde arbeitet, das man nur als ziemlich schlecht bezeichnen kann. Er dreht sich um, starrt Sie fast manisch an, und beginnt eine halbstündige Tirade über allerlei Themen. Sie fürchten schon, dass er verrückt ist, doch dann beruhigt er sich und erklärt Ihnen, worum es geht.\n\n”Um eine Nation an die Spitze zu führen, brauchen Sie jederzeit abrufbare Informationen, denn Informationen sind Macht. Wenn unser Wille triumphieren soll, müssen wir zuerst diesen Aspekt beherrschen. Ich werde Ihnen alles einzeln erklären, sobald Sie bereit sind, weiterzuklicken. Sollten Sie töricht genug sein, mein Genie ignorieren zu wollen, klicken Sie auf ""Verlassen"".”";;La guerra es inminente y debes estar preparado para lo que sea. Antes de poder guiar a tu país hacia el éxito, te hemos preparado algunos consejos de un experto. Te llevan fuera para que te reúnas con un hombrecillo con un mostacho de aspecto peculiar. Está pintando lo que solo podría ser descrito como un cuadro especialmente malo. Se da la vuelta y te mira de una manera casi maníaca justo antes de iniciar una verborrea incoherente de media hora sobre diversos temas. Empiezas a sospechar que el hombre podría estar loco. Sin embargo, empieza a calmarse y comienza a explicar qué es lo que pasa.\n\n“Para llevar a una nación a la supremacía, tienes que tener todos los datos disponibles. La información es poder. Antes hay que dominar eso si nuestra voluntad es la de triunfar. Te lo enseñaré todo en su momento, tan pronto como estés listo para continuar con el siguiente tema. Si eres tan necio como para ignorar mi sabiduría, pulsa el botón 'Salir'.”;;;;;;;;;x
tut_1a_3;Basic Concepts;Concepts de base;Grundkonzepte;;Conceptos básicos;;;;;;;;;x
tut_1a_4;The strange man starts to pace up and down, up and down, arms waving, voice rising and he speaks, yet to be honest it isn’t really worth getting worked up about. Is it?\n”- What kind of game is this? Hearts of Iron III is a Pausable Realtime Grand Strategy game.\nBy Grand Strategy we mean that you are in charge of the 'big picture', your arena is the world and your pieces are divisions and armies. Pausable means that the game runs in realtime but you can at any time pause the game by pressing the pause key (circled), the Pause/Break-key or the Space key.\n-Who are you? You take on the role of the leader of a nation during the late 1930s and the 1940s. Your job will be to guide your nation through this turbulent era and make your faction come out on top by military, diplomatic and industrial means.\n- How do you win? There is no predetermined set of victory conditions, what you wish to achieve is entirely up to you. You will of course take on the role of Germany and lead the Axis faction to world conquest, but you might chose to pursue some sort of weak goal like to maintain the neutrality and independence of your small nation among hungry superpowers? You will find that there are victory points on the map (see the manual for more on victory points), these represent the value of a certain province and can be used to see how well you are doing compared to others.”;Le petit homme bizarre commence à aller et venir en gesticulant et en élevant la voix alors que ça ne vaut pas vraiment la peine de s'énerver comme ça, ou bien ?\n\n”- Quel genre de jeu est-ce ? Hearts of Iron III est un jeu de grande stratégie en temps réel qui peut être mis en pause.\n Par grande stratégie, nous voulons dire que vous êtes responsable à tous les niveaux, votre terrain de jeu est le monde entier et vos pions sont des armées et des divisions. Qui peut être mis en pause signifie que le jeu se déroule en temps réel mais que vous pouvez interrompre le jeu à tout moment en appuyant sur la touche pause (marquée), ou sur la touche espace.\n-Vous incarnez un chef d'état durant les années 1930-40 et aurez pour tâche de mener votre pays durant cette période trouble. Vous pourrez pour ce faire user des volets militaire, diplomatique et diplomatique.\n- Il n'y a pas de conditions de victoire, seul vous pouvez juger de votre réussite ou de votre échec en fonction des objectifs que vous vous serez fixés. Vous pourrez par exemple viser de conquérir le plus de territoires possible avec l'Allemagne ou tenter de préserver l'indépendance d'un plus petit pays. Des points de victoire sont distribués sur la carte (voir le manuel pour plus d'informations). Ils représentant l'importance de provinces particulières et vous aident à évaluer votre réussite.”;Der seltsame Mann beginnt, auf- und abzuschreiten. Er fuchtelt mit den Armen, seine Stimme wird lauter, aber eigentlich lohnt es sich doch gar nicht, sich darüber so aufzuregen, oder??\n\n”- Was für ein Spiel das ist? Hearts of Iron III ist ein pausierbares Realtime Grand Strategy Game\n ‘Grand Strategy’ bedeutet, dass Sie die Kontrolle über das Gesamtgeschehen haben – Ihre Arena ist die Welt, und Ihre Schachfiguren sind Divisionen und Armeen. ‘Pausierbar’ bedeutet, dass das Spiel zwar in Echtzeit abläuft, Sie es aber jederzeit mit der Pausentaste (eingekreist), der Pausen/Break-Taste oder der Leertaste anhalten können.\n-Wer sind Sie? Sie schlüpfen in die Rolle eines Staatsoberhauptes in den späten 30ern und 40ern Jahren des 20. Jahrhunderts. Ihre Aufgabe ist es, Ihr Land durch diese turbulente Ära zu leiten und es mit militärischen, diplomatischen und industriellen Mitteln an die Spitze zu bringen.\n- Wie erreichen Sie den Sieg ? Es gibt keine festgelegten Bedingungen. Sie können als einer der Bündnisführer die Weltherrschaft anstreben oder als Führer einer kleinen Nation Ihre Unabhängigkeit bewahren. Auf der Karte werden Sie Provinzen mit Siegpunkten vorfinden (siehe Handbuch für mehr Informationen zu Siegpunkten).”;;El extraño hombre empieza a andar de arriba a abajo, de arriba a abajo, agitando los brazos y elevando la voz mientras habla aunque, para ser honestos, lo que dice aún no vale la pena tenerlo en cuenta. ¿Ya? ”¿Qué tipo de juego es éste? HoI 3 es un juego de estrategia global pausable y a tiempo real. Por estrategia global, nos referimos a que estás al mando de la 'situación global'. Tu campo de batalla es el mundo y los ejércitos o divisiones son tus piezas. Pausable significa que aunque el juego funcione en tiempo real, siempre puedes detenerlo pulsando la tecla de pausa, la tecla de Pausa/Inter. o el espaciador.\n¿Quién eres tú? Asumes el papel del líder de una nación durante los últimos años de la década de los años 30 y los años 40. Tu trabajo consiste en guiar a tu nación por esta era turbulenta y lograr que tu facción se haga con la supremacía por medios militares, diplomáticos o industriales.\n¿Cómo se gana? No hay un conjunto de condiciones de victoria predeterminado. Por supuesto, podrás asumir el papel de Alemania como líder de la facción del Eje en la conquista mundial, pero también podrías escoger alguna meta mediocre como mantener la neutralidad e independencia de tu pequeña nación entre superpotencias ávidas de poder. Observarás que hay puntos de victoria en el mapa. Estos representan el valor de una cierta provincia y se pueden utilizar para medir lo bien que te las estás arreglando en comparación con los demás”.;;;;;;;;;x
tut_1a_5;Main window;Fenêtre principale;Hauptfenster;;Ventana principal;;;;;;;;;x
tut_1a_6;He gestures towards the map and says, “Most of the action in the game will take place on this map that covers the entire world, save the Poles.... I mean poles. This map is divided into regions for you to occupy and provinces to conquer.” He points out the Mini Map in the lower right corner and continues, “This is your friend. Clicking here will allow you to jump around the globe quickly making your lightening attacks harder to parry. Above this you see several small buttons for switching Map Modes. These will colour the map in different ways according to which you select, my favourite is the one that shows all my lovely conquests.”;"Il gesticule en direction de la carte et dit : ""Le jeu se jouera ici sur cette carte qui couvre le monde entier à l'exception des pôles. Cette carte est divisée en régions que vous pouvez occuper et en provinces que vous pouvez conquérir. »,,' Il montre la mini-carte dans le coin inférieur droit et poursuit : « C'est votre ami. Si vous cliquez ici vous pourrez sauter rapidement partout sur le globe, ce qui rendra vos attaques éclair difficiles à parer. Au-dessus, vous voyez plusieurs petits boutons qui vous permettent de changer le mode des cartes. Ils coloreront la carte selon le mode sélectionné, celui que je préfère est celui qui affiche toutes mes jolies conquêtes. »";Er weist auf die Karte und sagt, “Die meisten Geschehnisse im Spiel finden auf dieser Karte statt, die die gesamte Welt zeigt, außer Polen… äh, ich meine, den Polen. Diese Karte ist in Regionen und Provinzen aufgeteilt, die Sie besetzen und einnehmen können.” Er zeigt auf die Minikarte in der rechten unteren Ecke und fährt fort, “Dies ist eine sehr hilfreiche Sache. Klicken Sie hier, wenn Sie schnell um den gesamten Globus herummanövrieren wollen und Ihre Blitzattacken Erfolg haben sollen. Darüber sehen Sie mehrere kleine Schaltflächen, mit denen Sie die Kartenmodi wechseln können. Diese färben die Karte unterschiedlich ein, je nach ausgewähltem Modus. Mein Favorit ist der, der all meine wunderbaren Eroberungen zeigt.”;;Hace un gesto hacia el mapa y dice: “La mayor parte de la acción del juego transcurrirá en este mapa que cubre todo el mundo salvo lo pelos... Perdón, quiero decir los polos. Este mapa se divide en regiones que tienes que ocupar y provincias que debes conquistar”. Señala el minimapa, en la esquina inferior derecha y continua “Este es tu amigo. Al hacer clic aquí, podrás saltar alrededor del globo con rapidez para conseguir que tus ataques relámpago sean más difíciles de parar. Encima, verás varios botones pequeños para alternar los modos del mapa. Estos colorearán el mapa de diversas formas según lo que selecciones. Mi favorito es aquel que muestra todas mis magníficas conquistas”.;;;;;;;;;x
tut_1a_7;Natural resources;Ressources naturelles;Natürliche Ressourcen;;Recursos naturales;;;;;;;;;x
tut_1a_8;The strange little man looks like he is about to resume painting, although you really wish he would either shave or grow some sensible facial hair. However instead he points to where the resources are, “Resources are vital for success. These are the basic inputs for your industry that in turn will fuel your war machine. You can increase the amount of resources through research and through conquest. There are also some fools, and they call me mad? Who would use trade to increase the number of resources despite the danger of it being interdicted during wartime. If you hover over the icons with your mouse you can get a further breakdown of where your resources are coming from and going to.”;L'étrange petit homme fait comme s'il allait reprendre sa peinture, bien que vous souhaitiez plutôt qu'il se rase ou qu'il se laisse pousser raisonnablement des poils sur le visage. Mais au lieu de cela, il indique où se trouvent les ressources : « Les ressources sont vitales pour le succès. Elles constituent la matière première de votre industrie qui, à son tour, alimentera votre machine de guerre. Vous pouvez accroître les ressources par la recherche et par des conquêtes. Il y a aussi des imbéciles qui me traitent de fou ! Qui se servirait du commerce pour accroître les ressources malgré le danger de le voir interdire en période de guerre ? Si vous survolez les icônes avec votre souris vous pouvez voir d'où proviennent les ressources et vers où elles sont dirigées. »;Der seltsame kleine Mann scheint sich anzuschicken, weiter zu malen, doch Sie wünschen sich viel lieber, dass er sich entweder rasiert oder einen anständigen Bart stehen lässt. Stattdessen zeigt er aber auf die Ressourcen: “Ressourcen sind lebenswichtig für den Erfolg. Sie sind die grundlegenden Materialquellen für Ihre Industrie, die wiederum Ihre Kriegsmaschine am Laufen hält. Sie können die Ressourcenmenge durch Forschung als auch durch Eroberungen erhöhen. Es gibt auch Narren (und ich soll verrückt sein?), die im Krieg die Ressourcenmenge mittels Handel erhöhen, obwohl die Gefahr besteht, dass sie abgefangen werden! Wenn Sie den Mauszeiger über die Symbole halten, erscheinen weitere Informationen dazu, woher Ihre Ressourcen kommen und wohin sie gehen.”;;Parece que el extraño hombrecillo está a punto de volver a su cuadro, aunque lo que realmente te gustaría que hiciese es afeitarse o dejarse un bigote decente. Sin embargo, en lugar de eso señala al lugar donde están los recursos. “Los recursos son vitales para el éxito. Estos son la fuente básica para tu industria, que a su vez será la que alimente tu maquinaria bélica. Puedes aumentar la cantidad de recursos mediante la investigación o la conquista. Aunque algunos me llamen loco, también hay medios bastante necios. ¿Quién usaría el comercio para aumentar los recursos a pesar del peligro de que se vea interrumpido durante la guerra? Si pasas el puntero del ratón por encima de los iconos, puedes obtener un detalle adicional sobre la procedencia y destino de tus recursos”.;;;;;;;;;x
tut_1a_8a;Energy - Such as coal and hydroelectric power. Used to power your industry.;Énergie / comme le charbon et l'énergie hydroélectrique. Servent à alimenter votre industrie.;Energie - Zum Beispiel Kohle und Wasserkraft. Treibt Ihre Industrie an.;;Energía, como el carbón y la potencia hidroeléctrica. Se utilizan para dar energía a tu industria.;;;;;;;;;x
tut_1a_8b;Metal - Various common ores such as Iron. Used to power your industry.;Métaux / Divers minerais courants comme le fer. Servent à alimenter votre industrie.;Metalle - Verschiedene gemeine Erze wie z. B. Eisen. Treibt Ihre Industrie an.;;Metal, de tipos comunes como el hierro. Se utilizan para dar energía a tu industria.;;;;;;;;;x
tut_1a_8c;Rare Materials - Thing such as Uranium and Rubber. Used to power your industry.;Matériaux rares – Comme l'uranium et le caoutchouc. Servent à alimenter votre industrie.;Seltene Materialien - Sachen wie Uran und Kautschuk. Treibt Ihre Industrie an.;;Materiales raros, como el uranio o el caucho. Se utilizan para dar energía a tu industria.;;;;;;;;;x
tut_1a_8d;Crude Oil - The Black gold. Fuels your military forces once converted to fuel.;Le pétrole brut – L'or noir. Alimente la machine de guerre une fois transformé en carburant.;Rohöl - Das Schwarze Gold. Treibt nach der Umwandlung zu Treibstoff Ihre Streitkräfte an.;;Petróleo, el oro negro Una vez convertido en combustible sirve para abastecer a tus fuerzas armadas.;;;;;;;;;x
tut_1a_9;Industrial Capacity;Capacité industrielle;Industriekapazität;;Capacidad industrial;;;;;;;;;x
tut_1a_10;He moves on to Industrial Capacity, his eyes once again almost manic, and people call him mad, you start to wonder why not? He points “This is the Industrial Capacity (IC) of your nation.\nThis is used to produce upgrade and reinforce you military units, if you allow your military to languish then it will mean death for your nation. Regrettably it also has to be used to keep your civilians happy.\n The three numbers next to the factory icon are of vital significance these describe (from left to right) your Waste IC, Available IC  and Base IC.\n\nBase IC is important, it represents the total number of factories in your nation.\nAvailable IC is your IC that you can actually use, this include modifiers by technology and excellent administrators, plus if you have failed to conquer enough resources this will lower this number.\nWasted IC is a sign that people are sabotaging the war effort and this should be dealt with immediately. This IC could be used right now to create more lovely tank divisions to liberate your neighbours with.\n\nWe will discuss this further in a later chapter.”;Il passe à la capacité industrielle, son regard est encore une fois maniaque, et vous vous étonnez que les gens le traitent de fou ? Il indique « Ceci est la capacité industrielle (CI )de votre pays.\nElle sert à améliorer et à renforcer vos unités militaires, si vous ne vous occupez pas de vos troupes, cela signifie la mort de votre nation. Il est regrettable qu'elle doive aussi servir au bonheur des populations civiles.\nLes trois chiffres à côté de l'icône de l'usine ont une signification vitale car elles décrivent (de droite à gauche) la CI gaspillée, la CI disponible et la CI de base.\n\nLa CI de base est importante, elle représente le nombre total d'usines dans votre pays.\nLa CI disponible correspond à celle qui est effectivement utilisable en fonction de vos technologies et de vos ministres. Mais elle peut être affectée par une pénurie de ressources.\nLes points de CI gaspillés correspondent à divers facteurs qui sappent de l'effort de guerre. Vous pouvez d'ores et déjà utiliser votre CI pour construire des divisions blindées.\nNous traiterons de tout cela dans un chapitre ultérieur. »;Er wendet sich der Industriekapazität zu, seine Augen fast manisch, und Sie beginnen zu verstehen, warum man ihn für verrückt hält. “Dies ist die Industriekapazität (IK) Ihrer Nation”.\nHiermit werden Upgrades produziert und Ihre Militäreinheiten verstärkt. Ein stagnierendes Militär ist der Tod Ihres Landes. Leider muss es auch dafür eingesetzt werden, Ihre Zivilisten bei Laune zu halten.\n Die drei Zahlen neben dem Fabriksymbol sind hochwichtig. Sie beschreiben, von links nach rechts, Ihre verschwendete IK, verfügbare IK und Basis-IK.\n\nBasis-IK ist wichtig, sie repräsentiert die Gesamtzahl der Fabriken in Ihrem Land und den von Ihnen besetzten Gebieten anderer Nationen.\nVerfügbare IK ist die IK, die Ihnen zur Nutzung bereit steht. Dies schliesst Modifikatoren durch Technologie und Minister ein sowie Unruhe im eigenen Volk. Wenn Sie nicht genug Ressourcen zur Verfügung haben, sinkt dieser Wert.\nVerschwendete IK ist ein Zeichen dafür, dass einem der Produktionszweige zu viel IK zugewiesen wurde.\nWir werden dies in einem späteren Kapitel noch im Detail besprechen.;;A continuación, con la locura en los ojos, pasa a hablar sobre la capacidad industrial. “Esto es la capacidad industrial (CI) de tu nación”, señala.\n“Se utiliza para producir mejoras y reforzar tus unidades militares. Si permites que tus fuerzas armadas decaigan, será el fin de tu nación. Desafortunadamente, también se ha de utilizar para mantener felices a tus ciudadanos.\nLos tres números junto al icono de la fábrica son de vital importancia, ya que indican, de izquierda a derecha, tu CI desperdiciada, disponible y básica.\nLa CI básica representa el número total de fábricas de tu nación.\nLa CI disponible es la CI que puedes utilizar actualmente. Incluye modificadores por tecnología y buenos administradores aunque, si no has logrado conquistar los recursos suficientes, este se verá reducido.\nLa CI desperdiciada es una señal de que la gente está saboteando el esfuerzo de guerra y tendrás que encargarte de ello de inmediato. Esta CI se puede utilizar de inmediato en la creación de nuevas divisiones de tanques con las que liberar a tus vecinos.\n\nYa hablaremos de esto en un capítulo más avanzado”.;;;;;;;;;x
tut_1a_11;Manpower and Leadership;Main d'œuvre et leadership;Mannstärke und Führung;;Recursos humanos y liderazgo;;;;;;;;;x
tut_1a_12;“Manpower represents the brave men who will die for the fatherland, you will use these hardy souls to build new units and reinforce existing ones.”;« La main d'œuvre représente les braves hommes qui vont mourir pour la patrie. Vous utiliserez ces robustes âmes pour créer de nouvelles unités et renforcer celles qui existent déjà. »;“Mannstärke repräsentiert die braven Kerle, die fürs Vaterland sterben werden. Mit diesen tapferen Seelen heben Sie neue Einheiten aus und verstärken die schon bestehenden.”;;“Los recursos humanos simbolizan a los hombres valientes dispuestos a morir por la patria. Podrás utilizar a estas almas robustas para construir nuevas unidades o reforzar otras existentes”.;;;;;;;;;x
tut_1a_13;Ah business as usual, you start to feel quite comfortable with the knowledge that the little man is in fact insane. However what does that make you? No time to ponder this question and the little man moves on to the next important topic. “Conquest requires leadership, you need to harness the ‘brightest and the best’ in your nation. We can store three types of leadership for use later.” :;Ah ! Vous commencez à vous habituer au fait de savoir que le petit homme est en fait fou. Mais qu'est-ce que cela fait de vous ? Pas le temps de réfléchir à cette question, le petit homme passe au sujet suivant qui est de grande importance. « La conquête nécessite du leadership, vous devez recruter « l'élite » de votre nation. Nous pouvons mettre en réserve trois types de leadership pour un usage ultérieur. » :;Ahh ….Business as usual!  Sie wiegen sich nun in der Gewissheit, dass der kleine Mann in der Tat verrückt ist. Aber was sind Sie denn dann? Keine Zeit, über diese Frage zu brüten – der kleine Mann kommt schon zum nächsten wichtigen Thema: “Eroberungen brauchen Führungspersonen, Sie brauchen hierzu die hellsten und besten Köpfe Ihrer Nation. Wir können drei Arten von Führung für späteren Gebrauch speichern”:;;Bueno, es lo de siempre. Empiezas a sentirte bastante cómodo al darte cuenta de que, de hecho, el hombrecillo está loco. ¿Y en qué te convierte eso? No tienes tiempo para plantearte esta pregunta porque el hombrecillo pasa al siguiente asunto. “Para conquistar necesitas liderazgo. Tienes que controlar a los ‘más brillantes y mejores’ de tu nación. Guardemos la idea de tres tipos de liderazgo para comentarla después:”;;;;;;;;;x
tut_1a_13a;Diplomatic Influence - Used to undertake diplomatic missions.;Influence diplomatique – Sert à entreprendre des missions diplomatiques.;Diplomatischer Einfluss - Zur Ausführung diplomatischer Missionen.;;Influencia diplomática. Se utiliza para llevar a cabo misiones diplomáticas.;;;;;;;;;x
tut_1a_13b;Spies - Used to find out more about your enemies or to undertake covert operations.;Espions – Servent à découvrir des informations sur vos ennemis ou à des opérations secrètes.;Spione - Mit ihnen können Sie mehr über Ihre Feinde herausfinden oder Kommandooperationen unternehmen.;;Espías. Se utilizan para descubrir más sobre tus enemigos o para realizar operaciones encubiertas.;;;;;;;;;x
tut_1a_13c;Officers - The leaders of your armies. The ratio of officers to the number of units affects the efficiency of your units.;Officiers / Les chefs de votre armée. Le ratio d'officiers/nombre d'unités influence l'efficacité de ces dernières.;Offiziere - Die Anführer Ihrer Armeen. Das Verhältnis von Offizieren zur Anzahl der Einheiten beeinflusst die Effizienz Ihrer Einheiten.;;Oficiales. Los líderes de tus ejércitos. La proporción de oficiales comparados con el número de unidades afecta a la eficiencia de tus unidades.;;;;;;;;;x
tut_1a_14;Dissent and National Unity;Dissidence et unité nationale;Unmut und Nationaler Zusammenhalt;;Disensión y unidad nacional;;;;;;;;;x
tut_1a_15;“The home front is of vital importance, speaking from personal experience here, wars can be lost due to the home front collapsing and nothing what so ever to do with the overwhelming forces arrayed against you.” You ponder this statement for a minute and realise that it really doesn’t have to actually make any sense, the little man continues “Dissent is how the common people are feeling, being the fools that they are they can easily be bribed by consumer goods. As dissent rises, your industry will start to suffer, your production starts to fall and even revolts can occur. Remember to always keep the masses bribed.”;Le front intérieur est d'une importance vitale, je vous parle ici d'expérience personnelle. On peut perdre une guerre à cause de l'effondrement à l'intérieur du pays et cela n'a rien à voir avec les forces écrasantes déployées contre vous. » Vous considérez cette déclaration et réalisez qu'elle n'a absolument aucun sens, le petit homme poursuit : « la dissidence est la façon dont les gens ordinaires se sentent, imbéciles comme ils le sont, on peut les soudoyer facilement avec des biens de consommation. Quand la dissidence augmente, votre industrie commence à souffrir, votre production commence à chuter et des révoltes peuvent même se produire. Rappelez-vous que les masses doivent toujours être soudoyées. »;“Die Heimatfront ist von enormer Wichtigkeit. Ich weiß aus eigener Erfahrung, dass Kriege verloren gehen können, weil die Heimatfront zusammenbricht, ganz ohne Einfluss der von allen Seiten auf Ihre Grenzen zumarschierenden feindlichen Kräfte.” Sie sinnen eine Minute lang über diese Feststellung nach und erkennen, dass sie eigentlich gar keinen Sinn zu machen braucht. Der kleine Mann fährt fort, “Unmut reflektiert die Stimmung des kleinen Mannes. Der kleine Mann ist ein Narr und kann daher ganz leicht mit Konsumgütern bestochen werden. Mit steigendem Unmut wird Ihre Industrie leiden, Ihre Produktion ins Hintertreffen geraten, und sogar Revolten können ausbrechen. Denken Sie immer daran, die Massen mit Zuckerlis bei Laune zu halten!”;;“El frente interior tiene una importancia vital. Por propia experiencia, puedes perder guerras debido a un colapso del frente interior sin que hayan tenido nada que ver en ello las abrumadoras fuerzas a las que te enfrentas”. Sopesas esta afirmación durante un minuto y piensas que no tiene por qué tener sentido alguno. El hombrecillo continúa. “La disensión es el estado de ánimo del pueblo llano y, con lo necio que es, se le puede engatusar con bienes de consumo. A medida que suba la disensión, la industria empezará a acusarlo, la producción caerá e incluso se producirán revueltas. Acuérdate de mantener siempre contentas a las masas”.;;;;;;;;;x
tut_1a_16;“National Unity is even more significant than dissent. This number represents the willingness of the people at the top to fight until total victory no matter how many temporary set backs you may suffer.” Well you suppose that is one way to describe staring defeat in the face.\n“Espionage and strategic warfare can affect this, so remember if the Schweinhunds start bombing your cities our mighty airforce will sweep them from the skies.” ;« L'unité nationale est encore plus importante que la dissidence. Ce chiffre représente la volonté du peuple de combattre jusqu'à la victoire totale, sans tenir compte du nombre de revers ponctuels dont vous pouvez souffrir. » Bon, vous prenez cela pour une façon de regarder une défaite en face.\nL'espionnage et la guerre peuvent influencer cela, alors rappelez-vous que si ces salauds commencent à bombarder vos villes, notre puissante aviation les rayera du ciel. »;“Nationaler Zusammenhalt ist noch wichtiger als Unmut. Diese Zahl steht für den Willen der Menschen an der Spitze, bis zum totalen Sieg zu kämpfen, egal, wie viele vorübergehende Rückschläge es geben mag.” Na ja, denken Sie sich, so kann man eine bevorstehende Niederlage auch umschreiben.\n“Spionage und strategische Kriegsführung können dem entgegenwirken, denken Sie also daran: Wenn die Schweinehunde Ihre Städte bombardieren, wird unsere mächtige Luftwaffe sie vom Himmel holen.” ;;“La unidad nacional es aún más importante que la disensión. Este número representa la voluntad de la gente al mando de luchar hasta la victoria total sin importar cuántos reveses temporales puedas sufrir”. Supones que con esto se refiere a la capacidad de afrontar la derrota.\n“El espionaje y la guerra estratégica pueden afectarle. Recuerda que si esos schweinhunds empiezan a bombardear tus ciudades, nuestra poderosa fuerza aérea los barrerá del cielo”. ;;;;;;;;;x
tut_1a_17;This concluded the chapter about the map and the main interface, the next chapter will deal with the art of diplomacy.;Ceci conclue le chapitre concernant la carte et l'interface principale. Le prochain chapitre portera sur l'art de la diplomatie.;Dies schließt das Kapitel zu Karte und Hauptinterface ab: Das nächste Kapitel beschäftigt sich mit der Kunst der Diplomatie.;;Con esto concluye el capítulo acerca del mapa y la interfaz principal. El siguiente tratará del arte de la diplomacia.;;;;;;;;;x
tut_1a_18;Produced Goods;Biens produits;Produktionsgüter;;Bienes producidos;;;;;;;;;x
